Author,Observation,Timestamp,ID,Location
ropf,"A bird at DR Byen",1690891760,0,DR Byen
adho,"I think that is a Heron at DR Byen",1690978778,1,DR Byen
edka,"Ardea cinerea at DR Byen",1690979858,2,DR Byen
signe,"Heron at DR Byen",1788161296,3,DR Byen
raaminraza,"Pengiun",1789844667,4,DR Byen
teklasvane,"pigeon",1790176946,6,itu
teklasvane,"pigeon",1790176946,7,itu
teklasvane,"pigeon",1790178415,7,itu
teklasvane,"pigeon",1790178415,8,itu
teklasvane,"pingu",1790178471,9,ismejeri
teklasvane,"pingu",1790178471,10,ismejeri
teklasvane,"swallow",1790184737,11,ismejeriet
teklasvane,"swallow",1790184737,12,ismejeriet
sofiehelt,"1",1790240112,13,DR Byen
sofiehelt,"Heron at Ismageriet",1790243138,16,Ismageriet
sofiehelt,"Heron at Ismageriet",1790329408,15,Ismageriet
sofiehelt,"Heron at Ismageriet",1790329421,16,Ismageriet
sofiehelt,"Heron at Ismageriet",1790329489,17,Ismageriet
sofiehelt,"Heron at Ismageriet",1790329500,18,Ismageriet
sofiehelt,"Heron at Ismageriet",1790329544,19,Ismageriet
sofiehelt,"Heron at Ismageriet",1790329726,20,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330016,21,Ismageriet
sofiehelt,"Heron DR Byen",1790330038,22,DR Byen
sofiehelt,"Heron at Ismageriet",1790330038,23,Ismageriet
sofiehelt,"Heron DR Byen",1790330055,24,DR Byen
sofiehelt,"Heron at Ismageriet",1790330055,25,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330070,26,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330086,27,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330133,28,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330156,29,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330176,30,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330365,31,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330440,32,Ismageriet
sofiehelt,"Heron at Ismageriet",1790330533,33,Ismageriet
sofiehelt,"Heron DR Byen",1790330553,34,DR Byen
sofiehelt,"Heron at Ismageriet",1790330553,35,Ismageriet
sofiehelt,"Heron DR Byen",1790330678,36,DR Byen
sofiehelt,"Heron at Ismageriet",1790330678,37,Ismageriet
sofiehelt,"Heron DR Byen",1790330694,38,DR Byen
mageriet
